Reference,Value,LCSC,Qty,Package,Tier
U1,ESP32-C3-WROOM-02-N4,C2934560,1,MODULE,extended
U2,AMS1117-3.3,C6186,1,SOT-223,basic
J1,USB-C Receptacle,C2765186,1,TYPE-C-31-M-12,basic
J2,JST-PH 2-pin,C144394,1,PH-2P,basic
J3,JST-PH 2-pin,C144394,1,PH-2P,basic
J4,JST-PH 2-pin,C144394,1,PH-2P,basic
D1,LED green 0603,C72043,1,0603,basic
R1,1k 0603 1%,C21190,1,0603,basic
R2,10k 0603 1%,C25804,1,0603,basic
C1,10uF 10V 0603,C15850,1,0603,basic
C2,22uF 10V 0603,C45783,1,0603,basic
C3,100nF 50V X7R 0603,C14663,1,0603,basic
C4,100nF 50V X7R 0603,C14663,1,0603,basic
